Наименование дисциплины,Аннотация РПД,Учебная карта дисциплины,Рабочая программа дисциплины,ed_id
Алгебра и геометрия,Аннотация РПД,УКД,РПД,01.03.01
Алгебраические методы функционального анализа,Аннотация РПД,УКД,РПД,01.03.01
Асимптотические методы,Аннотация РПД,УКД,РПД,01.03.01
Аэроакустика,Аннотация РПД,УКД,РПД,01.03.01
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,01.03.01
Вариационное исчисление и методы оптимизации,Аннотация РПД,УКД,РПД,01.03.01
Введение в биомеханику,Аннотация РПД,УКД,РПД,01.03.01
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,01.03.01
Введение в теорию функций вещественной переменной,Аннотация РПД,УКД,РПД,01.03.01
Динамика механических систем,Аннотация РПД,УКД,РПД,01.03.01
Дискретная математика и математическая логика,Аннотация РПД,УКД,РПД,01.03.01
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,01.03.01
Дифференциально-геометрические и топологические методы,Аннотация РПД,УКД,РПД,01.03.01
Дифференциальные уравнения,Аннотация РПД,УКД,РПД,01.03.01
Избранные главы гидроаэродинамики,Аннотация РПД,УКД,РПД,01.03.01
Избранные главы теории упругости,Аннотация РПД,УКД,РПД,01.03.01
Иностранный язык,Аннотация РПД,УКД,РПД,01.03.01
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,01.03.01
Интегральные преобразования и их приложения,Аннотация РПД,УКД,РПД,01.03.01
Интегральные уравнения и их приложения,Аннотация РПД,УКД,РПД,01.03.01
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,01.03.01
Комплексный анализ,Аннотация РПД,УКД,РПД,01.03.01
Компьютерные науки,Аннотация РПД,УКД,РПД,01.03.01
Математические модели в механике сплошных сред,Аннотация РПД,УКД,РПД,01.03.01
Математические модели гидроупругости,Аннотация РПД,УКД,РПД,01.03.01
Математические модели теории упругости и пластичности,Аннотация РПД,УКД,РПД,01.03.01
Математический анализ,Аннотация РПД,УКД,РПД,01.03.01
Механика композитов,Аннотация РПД,УКД,РПД,01.03.01
Механика материалов,Аннотация РПД,УКД,РПД,01.03.01
Механика сплошной среды,Аннотация РПД,УКД,РПД,01.03.01
Обратные задачи в естествознании,Аннотация РПД,УКД,РПД,01.03.01
Операторы в банаховых пространствах,Аннотация РПД,УКД,РПД,01.03.01
Основания геометрии,Аннотация РПД,УКД,РПД,01.03.01
"Основы теории групп, колец и полей",Аннотация РПД,УКД,РПД,01.03.01
Прикладной функциональный анализ,Аннотация РПД,УКД,РПД,01.03.01
Проект 1 курса,Аннотация РПД,УКД,РПД,01.03.01
Проект 2 курса,Аннотация РПД,УКД,РПД,01.03.01
Проект 3 курса,Аннотация РПД,УКД,РПД,01.03.01
Стохастическое моделирование,Аннотация РПД,УКД,РПД,01.03.01
Теоретическая и прикладная механика,Аннотация РПД,УКД,РПД,01.03.01
"Теория вероятностей, математическая статистика, теория случайных процессов",Аннотация РПД,УКД,РПД,01.03.01
Теория чисел,Аннотация РПД,УКД,РПД,01.03.01
Технология программирования и компьютерный практикум,Аннотация РПД,УКД,РПД,01.03.01
Уравнения в частных производных,Аннотация РПД,УКД,РПД,01.03.01
Уравнения математической физики,Аннотация РПД,УКД,РПД,01.03.01
Физико-механический практикум и вычислительная механика,Аннотация РПД,УКД,РПД,01.03.01
Физическая культура и спорт,Аннотация РПД,УКД,РПД,01.03.01
Философия,Аннотация РПД,УКД,РПД,01.03.01
Функциональный анализ,Аннотация РПД,УКД,РПД,01.03.01
Целые функции,Аннотация РПД,УКД,РПД,01.03.01
Численные методы,Аннотация РПД,УКД,РПД,01.03.01
Экономика и право,Аннотация РПД,УКД,РПД,01.03.01
Экспериментальная механика жидкости и газа,Аннотация РПД,УКД,РПД,01.03.01
Экспериментальная механика твердых деформируемых тел,Аннотация РПД,УКД,РПД,01.03.01
Автоматизация бизнеса на основе 1С:ERP,Аннотация РПД,УКД,РПД,01.03.02
Алгебра и геометрия,Аннотация РПД,УКД,РПД,01.03.02
Алгоритмы на графах,Аннотация РПД,УКД,РПД,01.03.02
Архитектура компьютера и операционные системы,Аннотация РПД,УКД,РПД,01.03.02
Базы данных,Аннотация РПД,УКД,РПД,01.03.02
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,01.03.02
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,01.03.02
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,01.03.02
Дифференциальные уравнения,Аннотация РПД,УКД,РПД,01.03.02
Задачи оптимального управления,Аннотация РПД,УКД,РПД,01.03.02
Иностранный язык,Аннотация РПД,УКД,РПД,01.03.02
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,01.03.02
Искусственные нейронные сети и приложения,Аннотация РПД,УКД,РПД,01.03.02
Искусственный интеллект,Аннотация РПД,УКД,РПД,01.03.02
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,01.03.02
Комплексный и векторный анализ,Аннотация РПД,УКД,РПД,01.03.02
Компьютерные сети,Аннотация РПД,УКД,РПД,01.03.02
Криптография,Аннотация РПД,УКД,РПД,01.03.02
Математическая логика и дискретная математика,Аннотация РПД,УКД,РПД,01.03.02
Математические модели естественных наук,Аннотация РПД,УКД,РПД,01.03.02
Математические основы защиты информации,Аннотация РПД,УКД,РПД,01.03.02
Математический анализ,Аннотация РПД,УКД,РПД,01.03.02
Машинное обучение,Аннотация РПД,УКД,РПД,01.03.02
Методы оптимизации и исследование операций,Аннотация РПД,УКД,РПД,01.03.02
Модели нелинейной динамики,Аннотация РПД,УКД,РПД,01.03.02
Основы алгоритмизации и программирования,Аннотация РПД,УКД,РПД,01.03.02
Пакеты научных вычислений,Аннотация РПД,УКД,РПД,01.03.02
ПО для управления бизнес-процессами,Аннотация РПД,УКД,РПД,01.03.02
Полнофункциональная веб-разработка с Ruby on Rails,Аннотация РПД,УКД,РПД,01.03.02
Проект 1 курса,Аннотация РПД,УКД,РПД,01.03.02
Проект 2 курса,Аннотация РПД,УКД,РПД,01.03.02
Проект 3 курса,Аннотация РПД,УКД,РПД,01.03.02
Теория автоматов и шифров,Аннотация РПД,УКД,РПД,01.03.02
Теория вероятностей и математическая статистика,Аннотация РПД,УКД,РПД,01.03.02
Технологии JAVA,Аннотация РПД,УКД,РПД,01.03.02
Технологии платформы .NET,Аннотация РПД,УКД,РПД,01.03.02
Уравнения математической физики,Аннотация РПД,УКД,РПД,01.03.02
Физическая культура и спорт,Аннотация РПД,УКД,РПД,01.03.02
Философия,Аннотация РПД,УКД,РПД,01.03.02
Функциональный анализ,Аннотация РПД,УКД,РПД,01.03.02
Цифровая обработка сигналов,Аннотация РПД,УКД,РПД,01.03.02
Цифровые инженерные технологии,Аннотация РПД,УКД,РПД,01.03.02
Численные методы,Аннотация РПД,УКД,РПД,01.03.02
Эконометрические модели,Аннотация РПД,УКД,РПД,01.03.02
Экономика и право,Аннотация РПД,УКД,РПД,01.03.02
Языки программирования,Аннотация РПД,УКД,РПД,01.03.02
Алгебра и геометрия,Аннотация РПД,УКД,РПД,01.03.03
Алгебраические методы функционального анализа,Аннотация РПД,УКД,РПД,01.03.03
Асимптотические методы,Аннотация РПД,УКД,РПД,01.03.03
Аэроакустика,Аннотация РПД,УКД,РПД,01.03.03
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,01.03.03
Вариационное исчисление и методы оптимизации,Аннотация РПД,УКД,РПД,01.03.03
Введение в биомеханику,Аннотация РПД,УКД,РПД,01.03.03
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,01.03.03
Введение в теорию функций вещественной переменной,Аннотация РПД,УКД,РПД,01.03.03
Динамика механических систем,Аннотация РПД,УКД,РПД,01.03.03
Дискретная математика и математическая логика,Аннотация РПД,УКД,РПД,01.03.03
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,01.03.03
Дифференциально-геометрические и топологические методы,Аннотация РПД,УКД,РПД,01.03.03
Дифференциальные уравнения,Аннотация РПД,УКД,РПД,01.03.03
Избранные главы гидроаэродинамики,Аннотация РПД,УКД,РПД,01.03.03
Избранные главы теории упругости,Аннотация РПД,УКД,РПД,01.03.03
Иностранный язык,Аннотация РПД,УКД,РПД,01.03.03
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,01.03.03
Интегральные преобразования и их приложения,Аннотация РПД,УКД,РПД,01.03.03
Интегральные уравнения и их приложения,Аннотация РПД,УКД,РПД,01.03.03
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,01.03.03
Комплексный анализ,Аннотация РПД,УКД,РПД,01.03.03
Компьютерные науки,Аннотация РПД,УКД,РПД,01.03.03
Математические модели в механике сплошных сред,Аннотация РПД,УКД,РПД,01.03.03
Математические модели гидроупругости,Аннотация РПД,УКД,РПД,01.03.03
Математические модели теории упругости и пластичности,Аннотация РПД,УКД,РПД,01.03.03
Математический анализ,Аннотация РПД,УКД,РПД,01.03.03
Механика композитов,Аннотация РПД,УКД,РПД,01.03.03
Механика материалов,Аннотация РПД,УКД,РПД,01.03.03
Механика сплошной среды,Аннотация РПД,УКД,РПД,01.03.03
Обратные задачи в естествознании,Аннотация РПД,УКД,РПД,01.03.03
Операторы в банаховых пространствах,Аннотация РПД,УКД,РПД,01.03.03
Основания геометрии,Аннотация РПД,УКД,РПД,01.03.03
"Основы теории групп, колец и полей",Аннотация РПД,УКД,РПД,01.03.03
Прикладной функциональный анализ,Аннотация РПД,УКД,РПД,01.03.03
Проект 1 курса,Аннотация РПД,УКД,РПД,01.03.03
Проект 2 курса,Аннотация РПД,УКД,РПД,01.03.03
Проект 3 курса,Аннотация РПД,УКД,РПД,01.03.03
Стохастическое моделирование,Аннотация РПД,УКД,РПД,01.03.03
Теоретическая и прикладная механика,Аннотация РПД,УКД,РПД,01.03.03
"Теория вероятностей, математическая статистика, теория случайных процессов",Аннотация РПД,УКД,РПД,01.03.03
Теория чисел,Аннотация РПД,УКД,РПД,01.03.03
Технология программирования и компьютерный практикум,Аннотация РПД,УКД,РПД,01.03.03
Уравнения в частных производных,Аннотация РПД,УКД,РПД,01.03.03
Уравнения математической физики,Аннотация РПД,УКД,РПД,01.03.03
Физико-механический практикум и вычислительная механика,Аннотация РПД,УКД,РПД,01.03.03
Физическая культура и спорт,Аннотация РПД,УКД,РПД,01.03.03
Философия,Аннотация РПД,УКД,РПД,01.03.03
Функциональный анализ,Аннотация РПД,УКД,РПД,01.03.03
Целые функции,Аннотация РПД,УКД,РПД,01.03.03
Численные методы,Аннотация РПД,УКД,РПД,01.03.03
Экономика и право,Аннотация РПД,УКД,РПД,01.03.03
Экспериментальная механика жидкости и газа,Аннотация РПД,УКД,РПД,01.03.03
Экспериментальная механика твердых деформируемых тел,Аннотация РПД,УКД,РПД,01.03.03
Basics of 1C Programming (Основы программирования 1C),Аннотация РПД,УКД,РПД,02.03.02
CS101. Basics of Programming (Основы программирования),Аннотация РПД,УКД,РПД,02.03.02
CS102. Discrete Mathematics (Дискретная математика),Аннотация РПД,УКД,РПД,02.03.02
CS103. Algebra and Geometry (Алгебра и геометрия),Аннотация РПД,УКД,РПД,02.03.02
CS104. Continuous Mathematics (Непрерывная математика),Аннотация РПД,УКД,РПД,02.03.02
CS201. Mathematical Logic (Математическая логика),Аннотация РПД,УКД,РПД,02.03.02
CS202. Automata Theory and Formal Languages (Теория автоматов и формальных языков),Аннотация РПД,УКД,РПД,02.03.02
CS203. Theory of Algorithms (Теория алгоритмов),Аннотация РПД,УКД,РПД,02.03.02
CS207. Mathematical Foundations of Information Security (Математические основы защиты информации),Аннотация РПД,УКД,РПД,02.03.02
CS211. Programming Languages (Языки программирования),Аннотация РПД,УКД,РПД,02.03.02
CS212. Paradigms and Technologies of Programming (Парадигмы и технологии программирования),Аннотация РПД,УКД,РПД,02.03.02
CS221. Computer Architecture and Operating Systems (Архитектура компьютера и операционные системы),Аннотация РПД,УКД,РПД,02.03.02
CS222. Computer Networks (Компьютерные сети),Аннотация РПД,УКД,РПД,02.03.02
CS242. Algorithms and Data Structures (Алгоритмы и структуры данных),Аннотация РПД,УКД,РПД,02.03.02
CS251. Database Technology (Технологии баз данных),Аннотация РПД,УКД,РПД,02.03.02
CS253. Intelligent Systems (Интеллектуальные системы),Аннотация РПД,УКД,РПД,02.03.02
CS261. Software Engineering (Программная инженерия),Аннотация РПД,УКД,РПД,02.03.02
CS291. Probability Theory and Mathematical Statistics (Теория вероятностей и математическая статистика),Аннотация РПД,УКД,РПД,02.03.02
CS292. Computational Mathematics (Вычислительная математика),Аннотация РПД,УКД,РПД,02.03.02
CS302. Non-classical Logic (Неклассические логики),Аннотация РПД,УКД,РПД,02.03.02
CS311. Compiler Development (Разработка компиляторов),Аннотация РПД,УКД,РПД,02.03.02
CS321. Parallel and Multithreaded Programming (Параллельное и многопоточное программирование),Аннотация РПД,УКД,РПД,02.03.02
CS332. Computer Graphics (Компьютерная графика),Аннотация РПД,УКД,РПД,02.03.02
CS341. Algorithms on Graphs (Алгоритмы на графах),Аннотация РПД,УКД,РПД,02.03.02
CS351. Introduction to Machine Learning and Neural Networks (Введение в машинное обучение и нейронные сети),Аннотация РПД,УКД,РПД,02.03.02
CS371. Coding Theory (Теория кодирования),Аннотация РПД,УКД,РПД,02.03.02
CS372. Digital Signal Processing (Цифровая обработка сигналов),Аннотация РПД,УКД,РПД,02.03.02
CS373. Basics of Secure Software Development (Основы безопасной разработки ПО),Аннотация РПД,УКД,РПД,02.03.02
CS374. Protection of Information in Networks (Защита информации в сети),Аннотация РПД,УКД,РПД,02.03.02
Disciplines in Physical Culture and Sports (Дисциплины по физической культуре и спорту),Аннотация РПД,УКД,РПД,02.03.02
Economics and Law (Экономика и право),Аннотация РПД,УКД,РПД,02.03.02
Foreign Language for Business Communication (Russian) (Иностранный язык для деловой коммуникации (русский)),Аннотация РПД,УКД,РПД,02.03.02
Foreign language (Иностранный язык),Аннотация РПД,УКД,РПД,02.03.02
"History (History of Russia, Universal history) (История (история России, всеобщая история))",Аннотация РПД,УКД,РПД,02.03.02
Introduction to the project activity (Введение в проектную деятельность),Аннотация РПД,УКД,РПД,02.03.02
Life safety (Безопасность жизнедеятельности),Аннотация РПД,УКД,РПД,02.03.02
Mobile Development (Разработка мобильных приложений),Аннотация РПД,УКД,РПД,02.03.02
Philosophy (Философия),Аннотация РПД,УКД,РПД,02.03.02
Physical culture and sport (Физическая культура и спорт),Аннотация РПД,УКД,РПД,02.03.02
Project-1 (Проект (1 курс)),Аннотация РПД,УКД,РПД,02.03.02
Project-2 (Проект (2 курс)),Аннотация РПД,УКД,РПД,02.03.02
Project-3 (Проект (3 курс)),Аннотация РПД,УКД,РПД,02.03.02
Algorithmization and Programming (Алгоритмизация и программирование),Аннотация РПД,УКД,РПД,02.03.03
Databases and DBMS (Базы данных и СУБД),Аннотация РПД,УКД,РПД,02.03.03
Discrete Mathematics (Дискретная математика),Аннотация РПД,УКД,РПД,02.03.03
Information Technology Security (Безопасность информационных технологий),Аннотация РПД,УКД,РПД,02.03.03
Mathematics (Математика),Аннотация РПД,УКД,РПД,02.03.03
Operating systems (Операционные системы),Аннотация РПД,УКД,РПД,02.03.03
Администрирование и безопасность компьютерных сетей,Аннотация РПД,УКД,РПД,02.03.03
Администрирование информационных систем,Аннотация РПД,УКД,РПД,02.03.03
Администрирование операционных систем,Аннотация РПД,УКД,РПД,02.03.03
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,02.03.03
Алгоритмизация и программирование,Аннотация РПД,УКД,РПД,02.03.03
"Архитектура, технологии и инструментальные средства разработки программного обеспечения",Аннотация РПД,УКД,РПД,02.03.03
Базы данных и СУБД,Аннотация РПД,УКД,РПД,02.03.03
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,02.03.03
Безопасность информационных технологий,Аннотация РПД,УКД,РПД,02.03.03
Введение в инженерную деятельность,Аннотация РПД,УКД,РПД,02.03.03
Дискретная математика,Аннотация РПД,УКД,РПД,02.03.03
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,02.03.03
Иностранный язык,Аннотация РПД,УКД,РПД,02.03.03
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,02.03.03
Интеллектуальные интернет-технологии,Аннотация РПД,УКД,РПД,02.03.03
История,Аннотация РПД,УКД,РПД,02.03.03
Компьютерная графика,Аннотация РПД,УКД,РПД,02.03.03
Компьютерное моделирование,Аннотация РПД,УКД,РПД,02.03.03
Концепции современного естествознания,Аннотация РПД,УКД,РПД,02.03.03
Маркетинг,Аннотация РПД,УКД,РПД,02.03.03
Математика,Аннотация РПД,УКД,РПД,02.03.03
Математические методы распознавания изображений,Аннотация РПД,УКД,РПД,02.03.03
Методы искусственного интеллекта,Аннотация РПД,УКД,РПД,02.03.03
Методы оптимизации,Аннотация РПД,УКД,РПД,02.03.03
Модели и методы инженерии знаний,Аннотация РПД,УКД,РПД,02.03.03
Объектно-ориентированное программирование,Аннотация РПД,УКД,РПД,02.03.03
Операционные системы,Аннотация РПД,УКД,РПД,02.03.03
Оптимальное управление системами с распределенными параметрами,Аннотация РПД,УКД,РПД,02.03.03
Основы построения интеллектуальных геоинформационных систем,Аннотация РПД,УКД,РПД,02.03.03
Основы проектной деятельности,Аннотация РПД,УКД,РПД,02.03.03
Практикум по математике,Аннотация РПД,УКД,РПД,02.03.03
Практикум по основам программирования,Аннотация РПД,УКД,РПД,02.03.03
Практикум по подготовке инженерной документации,Аннотация РПД,УКД,РПД,02.03.03
Программирование на языке Java,Аннотация РПД,УКД,РПД,02.03.03
"Проект ""Бизнес-план IT-продукта""",Аннотация РПД,УКД,РПД,02.03.03
Проектирование пользовательских интерфейсов,Аннотация РПД,УКД,РПД,02.03.03
Психология профессионального саморазвития,Аннотация РПД,УКД,РПД,02.03.03
Разработка мобильных приложений,Аннотация РПД,УКД,РПД,02.03.03
"Распознавание образов, классификация и машинное обучение",Аннотация РПД,УКД,РПД,02.03.03
Специальные разделы математики,Аннотация РПД,УКД,РПД,02.03.03
Структуры и алгоритмы обработки данных,Аннотация РПД,УКД,РПД,02.03.03
Творческий проект,Аннотация РПД,УКД,РПД,02.03.03
Теория алгоритмов в системах искусственного интеллекта,Аннотация РПД,УКД,РПД,02.03.03
Теория принятия решений,Аннотация РПД,УКД,РПД,02.03.03
Теория языков программирования и вычислительных процессов,Аннотация РПД,УКД,РПД,02.03.03
Технологии разработки клиентской части веб-приложений,Аннотация РПД,УКД,РПД,02.03.03
Технологии разработки серверной части веб-приложений,Аннотация РПД,УКД,РПД,02.03.03
Физическая культура и спорт,Аннотация РПД,УКД,РПД,02.03.03
Философия,Аннотация РПД,УКД,РПД,02.03.03
Цветографические аспекты дизайна пользовательских интерфейсов,Аннотация РПД,УКД,РПД,02.03.03
Численные методы,Аннотация РПД,УКД,РПД,02.03.03
Экономика инженерии и основы предпринимательства,Аннотация РПД,УКД,РПД,02.03.03
Экономико-правовое обеспечение инженерной деятельности,Аннотация РПД,УКД,РПД,02.03.03
Эмоциональный интеллект и критическое мышление инженера,Аннотация РПД,УКД,РПД,02.03.03
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,03.03.02
Аналитическая геометрия и линейная алгебра,Аннотация РПД,УКД,РПД,03.03.02
Аналоговая схемотехника. Цифровая схемотехника,Аннотация РПД,УКД,РПД,03.03.02
Антенные системы. Радиоэлектронные системы.,Аннотация РПД,УКД,РПД,03.03.02
Астрофизика. Биофизика,Аннотация РПД,УКД,РПД,03.03.02
Астрофизика. Экология. Биофизика,Аннотация РПД,УКД,РПД,03.03.02
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,03.03.02
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,03.03.02
Введение в физику наноструктур и методы их исследования,Аннотация РПД,УКД,РПД,03.03.02
Волоконно оптическая связь. Плазменная электроника,Аннотация РПД,УКД,РПД,03.03.02
Государственный экзамен,Аннотация РПД,УКД,РПД,03.03.02
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,03.03.02
Иностранный язык,Аннотация РПД,УКД,РПД,03.03.02
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,03.03.02
Интегральные уравнения и вариационное исчисление. Теория вероятности и математическая статистика,Аннотация РПД,УКД,РПД,03.03.02
"Информатика. Архитектура ПК, локальные вычислительные сети. Микропроцессорные системы",Аннотация РПД,УКД,РПД,03.03.02
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,03.03.02
Квантовая механика,Аннотация РПД,УКД,РПД,03.03.02
Колебания и волны. Атомная и ядерная физика.,Аннотация РПД,УКД,РПД,03.03.02
Компьютерное моделирование в астрофизике. Статистические методы обработки информации,Аннотация РПД,УКД,РПД,03.03.02
"Линии передачи и устройства СВЧ. Объектно-ориентированное программирование, базы данных",Аннотация РПД,УКД,РПД,03.03.02
Математический анализ,Аннотация РПД,УКД,РПД,03.03.02
Методы мат. физики,Аннотация РПД,УКД,РПД,03.03.02
Механика,Аннотация РПД,УКД,РПД,03.03.02
Молекулярная физика,Аннотация РПД,УКД,РПД,03.03.02
Общий физический практикум,Аннотация РПД,УКД,РПД,03.03.02
Операционные вычисления. Системы автоматизированного проектирования,Аннотация РПД,УКД,РПД,03.03.02
Оптика,Аннотация РПД,УКД,РПД,03.03.02
Оптоэлектроника. Когерентная оптоэлектроника.,Аннотация РПД,УКД,РПД,03.03.02
Основы интроскопии,Аннотация РПД,УКД,РПД,03.03.02
Основы программирования и визуализация данных на языке Python. Спецпрактикум и лаборатория специализации,Аннотация РПД,УКД,РПД,03.03.02
Полупроводниковая и физическая электроника. Твердотельная электроника,Аннотация РПД,УКД,РПД,03.03.02
Проблема N-тел в астрофизике,Аннотация РПД,УКД,РПД,03.03.02
Программирование. Информационно-коммуникационные технологии,Аннотация РПД,УКД,РПД,03.03.02
Проект 1,Аннотация РПД,УКД,РПД,03.03.02
Проект 2,Аннотация РПД,УКД,РПД,03.03.02
Проект 3,Аннотация РПД,УКД,РПД,03.03.02
Радиофизическая электроника,Аннотация РПД,УКД,РПД,03.03.02
"Радиофизический практикум (ОРЭ, ОЦС, АСУ, УИ СВЧ, КП, СП)",Аннотация РПД,УКД,РПД,03.03.02
Радиоэлектроника. Квантовая радиофизика,Аннотация РПД,УКД,РПД,03.03.02
Распространение электромагнитных волн,Аннотация РПД,УКД,РПД,03.03.02
Системы связи. Цифровые методы обработки случайных сигналов,Аннотация РПД,УКД,РПД,03.03.02
Статистическая радиофизика. Радиофизические измерения,Аннотация РПД,УКД,РПД,03.03.02
Статистические методы анализа экспериментальных данных,Аннотация РПД,УКД,РПД,03.03.02
Теоретическая механика. Механика сплошных сред,Аннотация РПД,УКД,РПД,03.03.02
Теоретическая механика. ТВМС.,Аннотация РПД,УКД,РПД,03.03.02
Теория групп в физике. Методы теории функционала плотности и молекулярной динамики,Аннотация РПД,УКД,РПД,03.03.02
Теория колебаний. Цифровая обработка сигналов,Аннотация РПД,УКД,РПД,03.03.02
Теория физических полей. Физика элементарных частиц,Аннотация РПД,УКД,РПД,03.03.02
Теория функций комплексного переменного. Дифференциальные уравнения,Аннотация РПД,УКД,РПД,03.03.02
Термодинамика и статистическая физика. Физика сплошных сред,Аннотация РПД,УКД,РПД,03.03.02
Термодинамика. Статистическая физика. Физическая кинетика,Аннотация РПД,УКД,РПД,03.03.02
Физика атома и атомных явлений. Физика ядра и частиц,Аннотация РПД,УКД,РПД,03.03.02
Физика волновых процессов. Электродинамика СВЧ,Аннотация РПД,УКД,РПД,03.03.02
Физика и техника СВЧ. Измерения на СВЧ,Аннотация РПД,УКД,РПД,03.03.02
Физика конденсированного состояния. Вычислительная физика,Аннотация РПД,УКД,РПД,03.03.02
"Физика космической плазмы, ядерный синтез.",Аннотация РПД,УКД,РПД,03.03.02
Физика магнитных явлений. Физика фазовых переходов,Аннотация РПД,УКД,РПД,03.03.02
Физика рентгеновских лучей,Аннотация РПД,УКД,РПД,03.03.02
Физика твёрдого тела,Аннотация РПД,УКД,РПД,03.03.02
Физическая культура и спорт,Аннотация РПД,УКД,РПД,03.03.02
Физический практикум,Аннотация РПД,УКД,РПД,03.03.02
Философия,Аннотация РПД,УКД,РПД,03.03.02
Функциональное программирование в задачах физики. Общая теория относительности,Аннотация РПД,УКД,РПД,03.03.02
"Численные методы и математическое моделирование. Архитектура ПК, сети ЭВМ",Аннотация РПД,УКД,РПД,03.03.02
Численные методы и методы математической физики,Аннотация РПД,УКД,РПД,03.03.02
Экология. Химия,Аннотация РПД,УКД,РПД,03.03.02
Экономика и право,Аннотация РПД,УКД,РПД,03.03.02
Электричество и магнетизм,Аннотация РПД,УКД,РПД,03.03.02
Электродинамика,Аннотация РПД,УКД,РПД,03.03.02
Элементарная математика. Векторный и тензорный анализ,Аннотация РПД,УКД,РПД,03.03.02
Элементы математики. Векторный и тензорный анализ. Математическое моделирование в радиофизике,Аннотация РПД,УКД,РПД,03.03.02
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,03.03.03
Аналитическая геометрия и линейная алгебра,Аннотация РПД,УКД,РПД,03.03.03
Аналоговая схемотехника. Цифровая схемотехника,Аннотация РПД,УКД,РПД,03.03.03
Антенные системы. Радиоэлектронные системы.,Аннотация РПД,УКД,РПД,03.03.03
Астрофизика. Биофизика,Аннотация РПД,УКД,РПД,03.03.03
Астрофизика. Экология. Биофизика,Аннотация РПД,УКД,РПД,03.03.03
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,03.03.03
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,03.03.03
Введение в физику наноструктур и методы их исследования,Аннотация РПД,УКД,РПД,03.03.03
Волоконно оптическая связь. Плазменная электроника,Аннотация РПД,УКД,РПД,03.03.03
Государственный экзамен,Аннотация РПД,УКД,РПД,03.03.03
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,03.03.03
Иностранный язык,Аннотация РПД,УКД,РПД,03.03.03
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,03.03.03
Интегральные уравнения и вариационное исчисление. Теория вероятности и математическая статистика,Аннотация РПД,УКД,РПД,03.03.03
"Информатика. Архитектура ПК, локальные вычислительные сети. Микропроцессорные системы",Аннотация РПД,УКД,РПД,03.03.03
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,03.03.03
Квантовая механика,Аннотация РПД,УКД,РПД,03.03.03
Колебания и волны. Атомная и ядерная физика.,Аннотация РПД,УКД,РПД,03.03.03
Компьютерное моделирование в астрофизике. Статистические методы обработки информации,Аннотация РПД,УКД,РПД,03.03.03
"Линии передачи и устройства СВЧ. Объектно-ориентированное программирование, базы данных",Аннотация РПД,УКД,РПД,03.03.03
Математический анализ,Аннотация РПД,УКД,РПД,03.03.03
Методы мат. физики,Аннотация РПД,УКД,РПД,03.03.03
Механика,Аннотация РПД,УКД,РПД,03.03.03
Молекулярная физика,Аннотация РПД,УКД,РПД,03.03.03
Общий физический практикум,Аннотация РПД,УКД,РПД,03.03.03
Операционные вычисления. Системы автоматизированного проектирования,Аннотация РПД,УКД,РПД,03.03.03
Оптика,Аннотация РПД,УКД,РПД,03.03.03
Оптоэлектроника. Когерентная оптоэлектроника.,Аннотация РПД,УКД,РПД,03.03.03
Основы интроскопии,Аннотация РПД,УКД,РПД,03.03.03
Основы программирования и визуализация данных на языке Python. Спецпрактикум и лаборатория специализации,Аннотация РПД,УКД,РПД,03.03.03
Полупроводниковая и физическая электроника. Твердотельная электроника,Аннотация РПД,УКД,РПД,03.03.03
Проблема N-тел в астрофизике,Аннотация РПД,УКД,РПД,03.03.03
Программирование. Информационно-коммуникационные технологии,Аннотация РПД,УКД,РПД,03.03.03
Проект 1,Аннотация РПД,УКД,РПД,03.03.03
